"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","场景分类","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例","执行方式","合入阶段","执行人","责任人","自动化-是否已实现"
"1653543","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互自定义功能","有2个以上命令","1. 打开终端，键盘按Tab切换到自定义命令插件
2. 再Tab切换到自定义列表
3. 自定义命令有Focus效果时按“→”方向键
4. 按“↑”、“↓”方向键
5. 编辑按钮有Focus效果按Enter或Space
6. 编辑按钮有Focus效果按“←”方向键
7. 焦点在自定义命令时按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 光标在搜索框
2. “↑”、“↓”方向键切换自定义命令，选中的自定义命令有Focus效果，切换到最上、最下一个自定义命令时，有提示音
3. 编辑按钮有边框效果
4. 会跳转到上一个、下一个自定义命令
5. 进入编辑自定义命界面
6. 当前编辑的自定义命令边框有Focus效果
7. 执行自定义命令","1. 
2. 
3. 
4. 
5. 
6. 
7.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","7","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653541","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互自定义命令全局功能按ESC键","列表有2个以上命令","1. 当焦点在搜索框、自定义命令列表、编辑按钮、添加命令按钮上时
2. 按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 选项有Focus效果
2. 焦点回到终端","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653539","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互自定义命令搜索结果为空","列表有2个以上命令","1. 打开终端，Tab键切换到自定义命令插件
2. 搜索框不输入任何字符，按Enter键
3. 输入字符，按Enter键，搜索结果为空
（PS：测试时需要测试Shift+Tab反向切换）","1. 搜索框有Focus效果
2. 搜索框无变化
3. < 键有Focus效果，按“←”方向键/Enter/Space键返回到搜索框","1. 
2. 
3.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653537","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互自定义命令搜索有结果","列表有2个以上命令","1. 打开终端，Tab键切换到自定义命令插件
2. 输入字符，按Enter键，搜索结果有显示
3. 按Tab键
4. 按“→”方向键
5. 按“←”方向键
6. 按“↑”、“↓”方向键
7. 按Enter键
8. 当焦点在返回键、自定义命令列表、编辑按钮时按ES
（PS：测试时需要测试Shift+Tab反向切换）","1. 搜索框有Focus效果
2. 返回键有Focus效果，按“←”方向键/Enter/Space键返回到搜索框
3. 自定义命令有Focus效果
4. 编辑按钮有边框效果
5. 自定义命令边框有Focus效果
6. 切换自定义命令，选中的自定义命令有Focus效果，切换到最上、最下一个自定义命令时，有提示音
7. 执行自定义命令
8. 焦点回到终端","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","8","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653535","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互编辑自定义命令","","1. 进入编辑命令界面
2. 依次 按Tab键
3. 在“删除命令”、“取消”和“保存”按钮按下Enter键
4. 按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 默认自定义名称全选
2. 一次切换名称、命令、快捷键、删除命令、取消、保存，右上角X键，各选项有Focus效果
3. 执行相应选项操作
4. 退出弹框，焦点返回在当前编辑的自定义命令的编辑按钮上","1. 
2. 
3. 
4.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653533","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互添加命令","","1. Tab键焦点在添加命令按钮，按Enter键
2. 依次按Tab
3. 焦点在取消、添加按钮时，按Enter/Space键
4. 在弹框界面按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 弹出添加命令弹框
2. 切换顺序：名称、命令、快捷键、取消、添加、右上角X键，各选项有Focus效果
3. 操作结束后，焦点回到添加命令按钮
4. 焦点返回到添加命令按钮","1. 
2. 
3. 
4.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653531","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互删除命令","","1. 进入到删除命令界面，按Tab键
2. 在“取消”和“确定”按钮按下空格或者回车
3. 按ESC键
4. 删除后下一项命令还存在
5. 删除后下一项命令不存在
6. 删除后不存在自定义命令
（PS：测试时需要测试Shift+Tab反向切换）","1. 焦点依次在右上角X键，取消，确定
2. 执行相应功能操作
3. 焦点返回到当前选择删除的自定义命令上
4. 默认选择删除自定义命令下一项
5. 默认选择到当前删除项的上一项
6. 焦点回到添加命令按钮","1. 
2. 
3. 
4. 
5. 
6.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","6","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653529","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互右键菜单中调出自定义命令插件","","1. 键盘按Alt+M调出右键菜
2. 按Tab键切换到自定义命令，按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 显示右键菜单
2. 自定义命令列表没有获得Focus效果","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653527","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互远程管理列表为空","","1. 打开终端，Tab键切换到主菜单，按Enter键
2. “↑”、“↓”方向键/Tab键切换远程管理
3. 按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 显示主菜单列表
2. 远程管理插件打开
3. 焦点切换到添加服务器按钮","1. 
2. 
3.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653525","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互远程管理列表有一个服务器（分组或未分组）","","1. 打开终端，Tab键切换到远程管理插件
2. 再按Tab键
（PS：测试时需要测试Shift+Tab反向切换）","1. 焦点进入服务器选项，列表有Focus效果
2. 添加服务器按钮高亮","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653523","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互远程管理功能，焦点在服务器列表不是组上","列表有2个以上服务器","1. 打开终端，Tab键切换到远程管理插件
2. 再按Tab键，焦点在远程服务器列表
3. 按“↑”、“↓”方向键切换服务器列表
4. 焦点在不是组的服务器上，按“→”方向键
5. 按Enter或Space
6. 按“↑”、“↓”方向键
7. 按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 焦点在搜索框
2. 焦点在远程服务器列表
3. 选中的服务器有Focus效果，切换到最上、最下一个服务器时，无法切换时有提示音
4. 编辑按钮有边框效果
5. 进入编辑服务器界面
6. 会跳转到上一个、下一个服务器
7. 执行连接服务器操作","1. 
2. 
3. 
4. 
5. 
6. 
7.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","7","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653521","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互远程管理功能，焦点在服务器列表组上","列表有2个以上服务器","1. 打开终端，Tab键切换到远程管理插件
2. 再按Tab键，焦点在组的服务器上
3. 切换到组列表按Enter、Space、“→”方向键
4. 组内只有一个服务器按Tab键
5. 组内服务器大于2个时
6. 按“↑”、“↓”方向键切换组内服务器列表
7. 按Enter键","1. 焦点在搜索框
2. 焦点在远程服务器组上
3. 进入组列表，焦点在返回按钮上
4. 焦点在服务器上
5. 按Tab键焦点在搜索框
6. 选中的服务器有Focus效果，切换到最上、最下一个服务器时，若无最上一个，最下一个有提示音
7. 执行连接服务器操作","1. 
2. 
3. 
4. 
5. 
6. 
7.","SP3、自动化","2","功能测试","","功能测试阶段","正常","1","2","7","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653519","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互远程管理搜索结果为空","","1. 打开终端，Tab键切换到远程管理插件
2. 搜索框不输入任何字符，按Enter键
3. 输入字符，按Enter键搜索结果为空
（PS：测试时需要测试Shift+Tab反向切换）","1. 焦点在搜索框
2. 搜索框无变化
3. < 键有Focus效果，按“←”方向键/Enter/Space键返回到搜索框","1. 
2. 
3.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653517","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互远程管理搜索有结果","","1. 打开终端，Tab键切换到远程管理插件
2. 输入字符，按Enter有搜索结果
3. 按Tab键切换到服务器
4. 按“→”方向键
5. 在搜索结果列表按“↑”、“↓”方向键切换远程管理
6. 选中的结果是非组，按Enter键
7. 选中的是组，按Enter键
8. 当焦点在返回键、服务器列表、编辑按钮时按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 焦点在搜索框
2. 返回键有Focus效果，按“←”方向键/Enter/Space键返回到搜索框
3. 选择的服务器有Focus效果
4. 编辑按钮有边框效果
5. 选中的服务器有Focus效果，切换到最上、最下一个服务器时，若无最上一个，最下一个有提示音
6. 执行连接远程服务器
7. 进入分组列表
8. 焦点回到终端","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","8","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653515","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互远程管理全局功能按ESC键","","1. 打开终端，当焦点在搜索框、服务器列表、编辑按钮、添加服务器按钮
2. 按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 选项有Focus效果
2. 焦点回到终端","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653513","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互添加服务器","","1. 打开终端，Tab键焦点在添加服务器按钮，点击Enter键
2. 依次按Tab键切换
3. 焦点在取消、添加按钮时，按Enter/Space键
4. 在弹框界面按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 弹出添加服务器弹框
2. 切换顺序：服务器名、地址、端口、用户名、密码、加密图标、证书、选择证书图标、高级选项、分组、路径、命令、编码、退格键、删除键、取消、添加、右上角X键，各选项有Focus效果
3. 操作结束后，焦点回到添加服务器按钮
4. 焦点返回到添加服务器按钮","1. 
2. 
3. 
4.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653511","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互编辑远程服务器","","1. 打开终端，Tab键进入编辑服务器界面
2. 依次按Tab键
3. 在“删除服务器”、“取消”和“保存”按钮按下空格或者回车
4. 按ESC退出弹框
（PS：测试时需要测试Shift+Tab反向切换）","1. 默认服务器名全选
2. 切换顺序：服务器名、地址、端口、用户名、密码、加密图标、证书、选择证书图标、高级选项、分组、路径、命令、编码、退格键、删除键、删除服务器、取消、保存、右上角X键，各选项有Focus效果
3. 执行相应选项操作
4. 焦点返回在当前编辑的远程管理上","1. 
2. 
3. 
4.","SP3、自动化","2","功能测试","","功能测试阶段","正常","1","5","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653509","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互删除服务器","","1. 打开终端，按Tab键进入到删除服务器面
2. 按Tab键
3. 在“取消”和“确定”按钮按下空格或者回车
4. 按ESC键
5. 删除后下一项服务器还存在
6. 删除后下一项服务器不存在
7. 删除后不存在服务器
（PS：测试时需要测试Shift+Tab反向切换）","1. 删除弹框显示正确
2. 焦点依次在右上角X键，取消，确定
3. 执行相应选项操作
4. 焦点返回到当前选择删除的服务器上
5. 默认选择删除的下一项
6. 默认选择到当前删除项的上一项
7. 焦点回到添加服务器按钮","1. 
2. 
3. 
4. 
5. 
6. 
7.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","7","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653507","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互编码、退格键、删除键","","1. 打开终端，进入到远程管理编码、退格键、删除键
2. 按空格键/Enter
3. 按“↑”、“↓“方向键
4. 按Enter键
5. 按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 选项框有Focus效果
2. 显示编码、退格键、删除键列表
3. 切换选择编码、退格键、删除键
4. 执行选择，列表收起
5. 列表收起","1. 
2. 
3. 
4. 
5.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653505","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互右键菜单中调出远程管理插件","","1. 键盘按Alt+M调出右键菜单
2. 按Tab键切换到远程管理，按enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 显示远程管理
2. 远程管理列表没有获得Focus效果","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653503","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互查找框","","1. 打开终端，键盘按Ctrl+Alt+F
2. 依次按Tab键
3. 按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 调出查找框，焦点在输入框
2. 焦点在向上、向下搜索按钮
3. 查找框隐藏","1. 
2. 
3.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653501","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互多窗口中操作","","1. 使用快捷键Ctrl+Alt+T新建多个终端窗口
2. 在其中一个窗口中操作自定义命令，远程管理，编码等功能
3. 在全局功能中使用键盘ESC键","1. 终端窗口显示正常
2. 键盘操作功能正常
3. 焦点返回正确","1. 
2. 
3.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653491","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏主界面点击功能","","1. 从启动器打开终端
2. 标签栏点击+新建窗口，并点击上一个下一个标签页
3. 点击主菜单
4. 点击新建窗口
5. 点击自定义命令
6. 点击远程管理
7. 点击设置
8. 点击主题
9. 点击帮助
10. 点击关于
11. 终端无程序运行时点击退出
12. 终端有程序运行时点击退出
13. 点击右上角x键/取消
14. 点击关闭","1. 打开终端窗口
2. 新建一个新工作区，并且可以选择上一个，下一个标签页
3. 弹出主菜单列表
4. 打开一个新的终端窗口
5. 显示自定义插件
6. 显示远程管理插件
7. 进入设置界面
8. 可以切换主题
9. 进入帮助界面
10. 显示关于界面
11. 直接退出终端
12. 弹出退出保护弹框
13. 退出保护弹框
14. 退出终端","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. 
13. 
14.","SP3、门禁","1","功能测试","","功能测试阶段","正常","0","2","14","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653489","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏标签页右键菜单","","1. 打开终端，点击标签页x按钮
2. 点击关闭标签页选项
3. 点击关闭其它标签页选项","1. 关闭标签页
2. 关闭当前标签页
3. 其它标签页被关闭","1. 
2. 
3.","SP3","2","功能测试","","功能测试阶段","正常","0","2","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653485","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏一指上下滑动功能","","1. 打开终端，输入ls -al让屏幕超过一屏内容
2. 在终端界面一指向上滑动
3. 在终端界面一指向下滑动
4. 手指上下来回滑动屏幕","1. 窗口显示一屏以上内容
2. 屏幕内容向上
3. 屏幕内容向下
4. 上下滑动正常，无crash现象","1. 
2. 
3. 
4.","SP3","1","功能测试","","功能测试阶段","正常","1","2","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653483","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏双指放大与缩小功能","","1. 打开终端，屏幕双指捏合做放大操作
2. 屏幕双指捏合做缩小操作
3. 在屏幕界面不停的操作放大与缩小操作","1. 终端界面字体放大显示，放大到字体50号
2. 2终端界面字体缩小显示，缩小到字体5号
3. 窗口字体放大缩小功能正常，无crash现象","1. 
2. 
3.","SP3","2","功能测试","","功能测试阶段","正常","1","2","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653479","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏长按右键再抬起","","1. 打开终端，长按右键
2. 点击右键菜单的各个选项","1. 弹出右键菜单
2. 可以执行相应的功能","1. 
2.","SP3","1","功能测试","","功能测试阶段","正常","0","2","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653477","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏分屏功能","","1. 打开终端，长按右键
2. 点击右键菜单的横向分屏
3. 点击右键菜单纵向分屏
4. 点击关闭窗口
5. 点击关闭其它窗口","1. 弹出右键菜单
2. 显示横向分屏窗口，并且右键菜单中没有横向分屏选项
3. 显示纵向分屏窗口，并且右键菜单中没有纵向分屏选项
4. 当前窗口被关闭
5. 其它窗口被关闭","1. 
2. 可以多个分屏
3. 可以多个分屏
4. 
5.","SP3","2","功能测试","","功能测试阶段","正常","0","3","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653475","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏查找功能","","1. 打开终端，长按右键
2. 点击右键菜单查找选项
3. 输入字符，点击向下按钮
4. 点击向上按钮","1. 弹出右键菜单
2. 调出查找框，光标在查找框
3. 跳转到下一个字符
4. 跳转到上一个字符","1. 
2. 
3. 
4.","SP3","2","功能测试","","功能测试阶段","正常","0","2","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653471","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏重命名功能","","1. 打开终端，长按右键
2. 点击右键菜单重命名选项
3. 点击右上角x键，取消按钮
4. 点击确定按钮","1. 弹出右键菜单
2. 调出重命名弹框，名称输入框默认被全选
3. 退出重命名弹框，标签名称未被修改
4. 退出重命名弹框，标签名称被修改","1. 
2. 
3. 
4.","SP3","2","功能测试","","功能测试阶段","正常","0","3","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653469","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏新建自定义命令功能","","1. 打开终端，长按右键
2. 点击右键菜单自定义命令
3. 点击添加命令按钮
4. 输入名称、命令、快捷键点击添加","1. 弹出右键菜单
2. 显示自定义命令插件
3. 弹出添加命令弹框
4. 自定义命令添加成功","1. 
2. 
3. 
4.","SP3","1","功能测试","","功能测试阶段","正常","0","2","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653467","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏编辑自定义命令功能","","1. 打开终端，长按右键
2. 点击右键菜单自定义命令
3. 选择一个命令，点击编辑
4. 输入名称、命令、快捷键点击保存","1. 弹出右键菜单
2. 显示自定义命令插件
3. 弹出编辑自定义界面，名称全选
4. 自定义命保存成功","1. 
2. 
3. 
4.","SP3","2","功能测试","","功能测试阶段","正常","0","2","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653465","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏删除自定义命令功能","","1. 打开终端，长按右键
2. 点击右键菜单自定义命令
3. 选择一个命令，点击编辑
4. 点击删除命令
5. 点击右上角x键或取消按钮
6. 点击确定按钮","1. 弹出右键菜单
2. 显示自定义命令插件
3. 弹出编辑自定义界面，名称全选
4. 弹出删除命令弹框
5. 退出删除弹框
6. 当前编辑的命令被删除","1. 
2. 
3. 
4. 
5. 
6.","SP3","2","功能测试","","功能测试阶段","正常","0","2","6","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653457","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏添加服务器功能","","1. 打开终端，长按右键
2. 点击右键菜单远程管理
3. 点击添加服务器按钮
4. 输入服务器名称、地址、用户名、密码，点击添加","1. 弹出右键菜单
2. 显示远程管理插件
3. 弹出添加服务器弹框
4. 服务器添加成功","1. 
2. 
3. 
4.","SP3","1","功能测试","","功能测试阶段","正常","0","2","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653455","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏编辑服务器功能","","1. 打开终端，长按右键
2. 点击右键菜单远程管理
3. 选择一个服务器，点击编辑
4. 输入服务器名、地址、用户名等点击保存","1. 弹出右键菜单
2. 显示远程管理插件
3. 弹出编辑服务器界面，服务器名全选
4. 服务器名保存成功","1. 
2. 
3. 
4.","SP3","2","功能测试","","功能测试阶段","正常","0","2","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653453","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏删除服务器功能","","1. 打开终端，长按屏幕后松手
2. 点击右键菜单远程管理
3. 选择一个服务器，点击编辑
4. 点击删除服务器
5. 点击右上角x键或取消按钮
6. 点击删除按钮","1. 弹出右键菜单
2. 显示远程管理插件
3. 弹出编辑服务器界面，服务器名全选
4. 弹出删除服务器弹框
5. 退出删除服务器弹框
6. 当前编辑的服务器被删除","1. 
2. 
3. 
4. 
5. 
6.","SP3","1","功能测试","","功能测试阶段","正常","0","2","6","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653447","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏连接服务器上传文件","","1. 打开终端，点击主菜单远程管理
2. 点击插件列表服务器选项
3. 单指长按调出右键菜单，选择上传文件
4. 选择一个文件，点击上传按钮","1. 显示远程管理插件
2. 自动连接服务器
3. 弹出选择文件对话框
4. 终端界面提示文件上传成功","1. 
2. 
3. 
4.","SP3","2","功能测试","","功能测试阶段","正常","0","2","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653445","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/触摸屏(#116111)","","触摸屏连接服务器下载文件","","1. 打开终端，点击主菜单远程管理
2. 点击插件列表服务器选项
3. 单指长按调出右键菜单，选择下载文件
4. 选择文件保存路径，点击选择
5. 输入需要下载的文件路径，点击enter","1. 显示远程管理插件
2. 自动连接服务器
3. 弹出选择文件路径对话框
4. 终端界面提示“请输入下载文件路径”
5. 终端界面提示文件下载成功","1. 
2. 
3. 
4. 
5.","SP3","2","功能测试","","功能测试阶段","正常","0","2","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","王薇","","",""
"1653321","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","光标风格","","1. 打开设置界面，检查光标风格默认显示
2. 修改为第二种，|
3. 修改为第三种_","1. 显示有3种风格，默认选中第一种
2. 光标立即生效
3. 光标立即生效","1. 有4种
2. 
3.","自动化","2","功能测试","","功能测试阶段","正常","0","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653319","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","光标闪烁","","1. 打开设置界面，检查光标闪烁
2. 去掉勾选，检查光标显示
3. 检查配置文件cat ~/.config/deepin/deepin-terminal/config.conf","1. 默认勾选，即光标会自动闪烁
2. 光标不闪烁
3. advanced.cursor.cursor_blink=true 表示闪烁；false表示不闪烁","1. 
2. 
3.","自动化","2","功能测试","","功能测试阶段","正常","1","3","3","通过","熊能","2024-07-19","游伟","2026-01-30","1","","","","游伟","","",""
